Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
Phittayaporn Chaiwan;Rest Time (4);4;;;430633;12733;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (5);5;;;443366;4266;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"-2;-24 (2)";5;1;7;441366;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;7;Line Kjaersfeldt;Forehand short service;7;Construccion;;;;;;
Phittayaporn Chaiwan;"11;17 (1)";5;2;4;442300;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;Finta;;
Line Kjaersfeldt;"15;-54 (1)";5;3;9;443000;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Defence;;;;;Reves;
Phittayaporn Chaiwan;"15;10 (1)";5;4;4;443400;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;4;;;;Construccion;;;;;;
Line Kjaersfeldt;"20;-54 (1)";5;5;Out;443400;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;OUT SIDE;;;;Construccion;;Unforced Phittayaporn Chaiwan;;;;
Phittayaporn Chaiwan;Rest Time (5);5;;;447633;11800;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (6);6;;;459433;2966;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Line Kjaersfeldt;"3;-24 (1)";6;1;6;457433;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Line Kjaersfeldt;Forehand short service;5;Construccion;;;;;;
Phittayaporn Chaiwan;"-3;16 (1)";6;2;2;458500;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;;;
Line Kjaersfeldt;"-3;-5 (1)";6;3;3;458500;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;3;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"3;1 (1)";6;4;3;459366;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;NET;;;;Construccion;;Unforced Line Kjaersfeldt;;;;
Phittayaporn Chaiwan;Rest Time (6);6;;;462400;12100;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Phittayaporn Chaiwan;Rally Time (7);7;;;474500;15100;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
Phittayaporn Chaiwan;"-2;25 (1)";7;1;6;472500;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;6;Phittayaporn Chaiwan;Backhand short service;2;Construccion;;;;;;
Line Kjaersfeldt;"5;-17 (1)";7;2;2;473500;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;;;
