Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;WR Player1;Tournament;Match;Round;WR Player2;Interval;Player2;#Rounds;Play R or L Player1;Country Player1;Country Player2;Rally Time;Play R or L Player2;Player1;Set;Field Position;Player on C1;Type of service;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Tipo de recepcion;Reves;Match Duration
An Se Young;"7;54";4;2;12;703480;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
Akane Yamaguchi;"12;-61";4;3;9;704760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;OUT LENGTH;;;Construccion;Unforced An Se Young;;;;;
An Se Young;Rest Time (3);4;;;706760;11960;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (4);5;;;718720;10400;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"3;-32 (1)";5;1;6;716720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"-14;54 (1)";5;2;9;719080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Attack;;;;;;
Akane Yamaguchi;"-11;-35";5;3;8;719640;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;8;;;Defence;;;;;;
An Se Young;"-14;54 (2)";5;4;9;720760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-13;-53";5;5;12;722200;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-14;31";5;6;5;722680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;Before;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
