Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;WR Player1;Tournament;Match;Round;WR Player2;Interval;Player2;#Rounds;Play R or L Player1;Country Player1;Country Player2;Rally Time;Play R or L Player2;Player1;Set;Field Position;Player on C1;Type of service;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Tipo de recepcion;Reves;Match Duration 
Akane Yamaguchi;"-13;-11";19;14;4;1258360;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-14;54 (13)";19;15;9;1259800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"12;-54 (1)";19;16;9;1261000;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
An Se Young;"8;14";19;17;4;1262080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
Akane Yamaguchi;"2;-10";19;18;2;1263040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;2;;;Construccion;;;;;;
An Se Young;"-9;61";19;19;9;1264680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;OUT LENGTH;;;Construccion;Unforced Akane Yamaguchi;;;;;
Akane Yamaguchi;Rest Time (18);19;;;1266680;41080;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (19);20;;;1307760;4560;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
An Se Young;"-2;32";20;1;6;1305760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;An Se Young;Forehand long service;Construccion;;;;;;
Akane Yamaguchi;"6;-55";20;2;9;1307760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;10;;;Attack;;;;;;
An Se Young;"13;31";20;3;8;1308440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"3;-13";20;4;2;1309440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;2;;;Construccion;;;;;;
An Se Young;"-9;1";20;5;1;1310320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;NET;;;Construccion;Unforced Akane Yamaguchi;;;;;
Akane Yamaguchi;Rest Time (19);20;;;1312320;12560;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (20);21;;;1324880;8720;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
An Se Young;"3;31";21;1;7;1322880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;An Se Young;Forehand long service;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (3)";21;2;12;1325080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"-14;54 (14)";21;3;9;1326080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-9;-15";21;4;4;1327080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Attack;;;;;;
An Se Young;"-1;32";21;5;6;1327520;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;;;Defence;;;;;;
Akane Yamaguchi;"-2;-14";21;6;3;1327920;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Attack;;;;;;
An Se Young;"-11;32";21;7;5;1328400;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"-2;-52";21;8;11;1329280;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;11;;;Attack;;;;;;
An Se Young;"-11;30";21;9;5;1329920;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"-10;-12";21;10;4;1330680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-13;11 (1)";21;11;1;1331600;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;Winner Akane Yamaguchi;;;;;
Akane Yamaguchi;Rest Time (20);21;;;1333600;17760;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (21);22;;;1351360;18080;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"3;-33 (1)";22;1;6;1349360;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"-14;55 (1)";22;2;9;1351680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"7;-17";22;3;1;1352560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
An Se Young;"0;10";22;4;3;1353440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;2;;;Construccion;;;;;;
Akane Yamaguchi;"-2;-10";22;5;3;1354160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Construccion;;;;;;
An Se Young;"3;54";22;6;11;1356080;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;11;;;Construccion;;;;;;
Akane Yamaguchi;"-13;-53 (4)";22;7;12;1357160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-15;29";22;8;5;1357880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"-11;-11";22;9;4;1358800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-13;12 (2)";22;10;1;1359720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (4)";22;11;12;1361120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-14;31 (1)";22;12;5;1361680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"-11;-15 (1)";22;13;4;1362440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Attack;;;;;;
An Se Young;"-2;35";22;14;6;1362880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;;;Defence;;;;;;
Akane Yamaguchi;"-8;-29";22;15;8;1363720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;8;;;Attack;;;;;;
An Se Young;"9;30";22;16;8;1364320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"8;-37";22;17;5;1365280;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Attack;;;;;;
An Se Young;"6;36";22;18;8;1365800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;;;Defence;;;;;;
Akane Yamaguchi;"-6;-13";22;19;3;1366520;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-11;2";22;20;1;1367440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;NET;;;Construccion;Unforced Akane Yamaguchi;;;;;
An Se Young;Rest Time (21);22;;;1369440;20960;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (22);23;;;1390400;5640;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
An Se Young;"-3;34";23;1;6;1388400;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;An Se Young;Forehand long service;Construccion;;;;;;
Akane Yamaguchi;"5;-55";23;2;10;1390120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;10;;;Construccion;;;;;;
An Se Young;"-14;54 (15)";23;3;9;1391200;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (5)";23;4;12;1392800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"13;33";23;5;8;1393440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"14;1";23;6;4;1394040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;NET;;;Construccion;Error An Se Young;;;;;
Akane Yamaguchi;Rest Time (22);23;;;1396040;36720;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (23);24;;;1432760;9840;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"-3;-31";24;1;7;1430760;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"8;54";24;2;12;1433040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
Akane Yamaguchi;"11;-35";24;3;5;1433720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
An Se Young;"5;19";24;4;3;1434320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Attack;;;;;;
Akane Yamaguchi;"0;-35";24;5;6;1434720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;;;Defence;;;;;;
An Se Young;"-10;13";24;6;1;1435440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
Akane Yamaguchi;"-13;-54 (6)";24;7;12;1436800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-14;30";24;8;5;1437480;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"-9;-12";24;9;4;1438320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
An Se Young;"-12;10 (1)";24;10;1;1439400;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Defence;;;;;;
Akane Yamaguchi;"6;-9";24;11;1;1440240;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;2;;;Attack;;;;;;
An Se Young;"1;24";24;12;7;1440600;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;;;Construccion;Winner Akane Yamaguchi;;;;;
An Se Young;Rest Time (23);24;;;1442600;16280;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (24);25;;;1458880;4160;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"3;-33 (2)";25;1;6;1456880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;6;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"-12;54 (2)";25;2;9;1458520;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"-14;-53 (1)";25;3;12;1459560;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
An Se Young;"-13;25";25;4;5;1460200;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"15;-17";25;5;1;1461040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;Winner An Se Young;;;;;
An Se Young;Rest Time (24);25;;;1463040;15320;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
An Se Young;Rally Time (25);26;;;1478360;15160;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
An Se Young;"3;32 (1)";26;1;7;1476360;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;An Se Young;Forehand long service;Construccion;;;;;;
Akane Yamaguchi;"-11;-53";26;2;12;1478440;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"-13;54 (4)";26;3;9;1479400;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
Akane Yamaguchi;"12;-55 (2)";26;4;9;1480400;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Attack;;;;;;
An Se Young;"14;30 (1)";26;5;8;1480960;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
Akane Yamaguchi;"13;-13 (2)";26;6;1;1481920;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
An Se Young;"12;9";26;7;4;1482880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
Akane Yamaguchi;"-12;-54 (6)";26;8;12;1484720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"11;11 (1)";26;9;4;1485680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
Akane Yamaguchi;"12;-12 (2)";26;10;1;1486720;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
An Se Young;"12;53";26;11;12;1488120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
Akane Yamaguchi;"10;-13";26;12;1;1489120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
An Se Young;"13;10";26;13;4;1489920;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
Akane Yamaguchi;"-11;-60";26;14;12;1491520;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;OUT LENGTH;;;Construccion;Unforced An Se Young;;;;;
Akane Yamaguchi;Rest Time (25);26;;;1493520;16280;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;;Right handed;Akane Yamaguchi;1;;;;;;Rest Time;;;;
Akane Yamaguchi;Rally Time (26);27;;;1509800;15080;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;;;;;;;;;;
Akane Yamaguchi;"-2;-32";27;1;7;1507800;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;Akane Yamaguchi;Forehand long service;Construccion;;;;;;
An Se Young;"8;54 (1)";27;2;12;1510320;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
Akane Yamaguchi;"7;-37";27;3;5;1510880;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
An Se Young;"4;18";27;4;3;1511680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Attack;;;;;;
Akane Yamaguchi;"-1;-35";27;5;7;1512040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;7;;;Defence;;;;;;
An Se Young;"5;16";27;6;3;1512680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;3;;;Construccion;;;;;;
Akane Yamaguchi;"-14;-54 (2)";27;7;12;1513600;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Defence;;;;;;
An Se Young;"-13;15 (3)";27;8;1;1514640;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
Akane Yamaguchi;"-14;-54 (3)";27;9;12;1515640;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Construccion;;;;;;
An Se Young;"13;54 (4)";27;10;12;1516640;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;12;;;Attack;;;;;;
Akane Yamaguchi;"14;-39";27;11;5;1517120;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;5;;;Defence;;;;;;
An Se Young;"13;9";27;12;4;1518160;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;4;;;Construccion;;;;;;
Akane Yamaguchi;"11;-10";27;13;1;1519040;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;1;;;Construccion;;;;;;
An Se Young;"-8;54";27;14;9;1520680;4000;3;Thailand WT 300 2020;Akane Yamaguchi-An Se Young;5;9;After;An Se Young;5;Right handed;JPN;KOR;Rally Time;Right handed;Akane Yamaguchi;1;9;;;Construccion;;;;;;
