Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
Pusharla V Shindu;"-11;-17 (1)";5;2;4;391360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"10;6 (1)";5;3;4;391360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"11;-55 (1)";5;4;9;391360;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Clara Azurmendi;"3;56 (1)";5;5;11;393200;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;11;;;;Construccion;;;;;;
Pusharla V Shindu;"19;-55 (1)";5;6;Out;393200;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;OUT SIDE;;;;Construccion;;Unforced Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (5);5;;;397840;13920;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;1;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (6);6;;;411760;8000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;-25 (1)";6;1;6;409760;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;5;Construccion;;;;;;
Clara Azurmendi;"-3;16 (2)";6;2;2;410640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;2;;;;Construccion;;;;Modificada;;
Pusharla V Shindu;"13;-55 (1)";6;3;9;411040;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;16 (1)";6;4;1;411040;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"14;-55 (1)";6;5;9;411040;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Clara Azurmendi;"13;56 (1)";6;6;12;413520;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Pusharla V Shindu;"14;-55 (2)";6;7;9;413520;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Clara Azurmendi;"14;16 (1)";6;8;4;415640;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;1;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
