Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration 
Pusharla V Shindu;"-14;56 (3)";19;5;9;1808600;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Clara Azurmendi;"-12;-31 (1)";19;6;8;1810560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;8;;;;Attack;;;;;;
Pusharla V Shindu;"-15;35 (3)";19;7;5;1811280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Clara Azurmendi;"-14;-54 (7)";19;8;12;1811720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Pusharla V Shindu;"-14;38 (1)";19;9;5;1812520;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Clara Azurmendi;"-11;-12 (1)";19;10;4;1813120;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Attack;;;;;;
Pusharla V Shindu;"-4;41 (1)";19;11;6;1813840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;6;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (57);19;;;1816360;17640;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (58);20;;;1834000;2640;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;-25 (4)";20;1;7;1832000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand flick;11;Construccion;;;;;;
Pusharla V Shindu;"15;54 (1)";20;2;12;1832920;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Clara Azurmendi;"15;-40 (1)";20;3;5;1832840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Pusharla V Shindu;"11;11 (1)";20;4;4;1833440;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Attack;;;;;;
Clara Azurmendi;"9;-40 (1)";20;5;5;1834200;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;5;;;;Construccion;;Winner Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (58);20;;;1836640;17240;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (59);21;;;1853880;12560;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"1;24 (1)";21;1;7;1851880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;3;Construccion;;;;;;
Clara Azurmendi;"-12;-17 (1)";21;2;4;1852800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Finta;;
Pusharla V Shindu;"-14;54 (8)";21;3;9;1852840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Clara Azurmendi;"-14;-16 (2)";21;4;4;1854160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;54 (9)";21;5;9;1854160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Clara Azurmendi;"-14;-55 (6)";21;6;12;1856240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Construccion;;;;;;
Pusharla V Shindu;"-13;17 (1)";21;7;1;1856240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"3;-16 (1)";21;8;2;1857560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;2;;;;Defence;;;;;;
Pusharla V Shindu;"3;6 (1)";21;9;3;1859360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;3;;;;Construccion;;;;;;
Clara Azurmendi;"15;-54 (1)";21;10;9;1859360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"13;26 (1)";21;11;8;1861120;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;8;;;;Construccion;;;;;;
Clara Azurmendi;"13;-54 (5)";21;12;9;1861120;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"-8;55 (1)";21;13;9;1862720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"12;-17 (2)";21;14;1;1862720;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;Winner Pusarla V Shindu;;;;
Clara Azurmendi;Rest Time (59);21;;;1866440;35720;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (60);22;;;1902160;2440;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-2;24 (2)";22;1;6;1900160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;5;Construccion;;;;;;
Clara Azurmendi;"3;-17 (6)";22;2;2;1901160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Pusharla V Shindu;"15;62 (1)";22;3;12;1901160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;OUT LENGTH;;;;Construccion;;Unforced Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (60);22;;;1904600;9400;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (61);23;;;1914000;2240;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;25 (12)";23;1;7;1912000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;4;Construccion;;;;;;
Clara Azurmendi;"-14;-17 (3)";23;2;4;1913040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Modificada/Finta;;
Pusharla V Shindu;"11;6 (1)";23;3;4;1917080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (61);23;;;1916320;10000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (62);24;;;1926320;4800;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;-24 (6)";24;1;6;1924320;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;6;Construccion;;;;;;
Pusharla V Shindu;"-4;16 (1)";24;2;2;1925280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-14 (1)";24;3;4;1925280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Defence;;;;;;
Pusharla V Shindu;"-14;55 (13)";24;4;9;1926200;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"11;-54 (1)";24;5;9;1926200;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Pusharla V Shindu;"9;1 (1)";24;6;4;1928080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Clara Azurmendi;;;;
Pusharla V Shindu;Rest Time (62);24;;;1931120;13120;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (63);25;;;1944240;8240;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-1;24 (2)";25;1;6;1942240;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;6;Pusarla V Shindu;Backhand short service;1;Construccion;;;;;;
Clara Azurmendi;"3;-17 (7)";25;2;2;1943280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;2;;;;Construccion;;;;Finta;;
Pusharla V Shindu;"-14;6 (1)";25;3;1;1943360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"-13;-7 (1)";25;4;4;1943360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"-15;6 (1)";25;5;1;1943360;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"-3;-53 (1)";25;6;11;1946040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;11;;;;Attack;;;;;;
Pusharla V Shindu;"-14;35 (3)";25;7;5;1948280;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;5;;;;Defence;;;;;;
Clara Azurmendi;"-12;-53 (1)";25;8;12;1948800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Attack;;;;;;
Pusharla V Shindu;"14;46 (1)";25;9;8;1949880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;8;;;;Construccion;;Winner Clara Azurmendi;;;;
Clara Azurmendi;Rest Time (63);25;;;1952480;16320;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (64);26;;;1968800;5840;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"-2;-26 (3)";26;1;7;1966800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;7;Clara Azurmendi;Backhand short service;3;Construccion;;;;;;
Pusharla V Shindu;"12;19 (1)";26;2;4;1967800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Finta;;
Clara Azurmendi;"13;-53 (1)";26;3;9;1968040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"13;7 (2)";26;4;4;1969000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Clara Azurmendi;"11;-7 (3)";26;5;1;1969000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"12;7 (1)";26;6;4;1969000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Defence;;;;;;
Clara Azurmendi;"-3;1 (1)";26;7;2;1971800;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;NET;;;;Construccion;;Error Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (64);26;;;1974640;10360;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (65);27;;;1985000;4360;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Clara Azurmendi;"2;-25 (5)";27;1;6;1983000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;6;Clara Azurmendi;Backhand short service;8;Construccion;;;;;;
Pusharla V Shindu;"-12;17 (2)";27;2;1;1983840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;;;Finta;;
Clara Azurmendi;"13;-55 (8)";27;3;9;1984000;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;;
Pusharla V Shindu;"-13;56 (3)";27;4;9;1985160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-15 (2)";27;5;4;1985160;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;Winner Pusarla V Shindu;;;;
Pusharla V Shindu;Rest Time (65);27;;;1989360;13560;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Pusharla V Shindu;Rally Time (66);28;;;2002920;15680;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"2;25 (13)";28;1;7;2000920;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;3;Construccion;;;;;;
Clara Azurmendi;"-11;-17 (5)";28;2;4;2001880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"15;54 (2)";28;3;12;2001880;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Clara Azurmendi;"-12;-55 (3)";28;4;12;2002840;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Pusharla V Shindu;"-14;55 (14)";28;5;9;2003640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Clara Azurmendi;"10;-17 (2)";28;6;1;2004640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;55 (15)";28;7;9;2004640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"14;-55 (6)";28;8;9;2004640;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Defence;;;;;Reves;
Pusharla V Shindu;"-14;13 (2)";28;9;1;2008040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;;;;;
Clara Azurmendi;"12;-55 (3)";28;10;9;2008040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;14 (4)";28;11;1;2008040;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"-14;-14 (2)";28;12;4;2011080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;4;;;;Construccion;;;;;;
Pusharla V Shindu;"-14;55 (16)";28;13;9;2011080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-55 (7)";28;14;12;2011080;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;12;;;;Defence;;;;;;
Pusharla V Shindu;"-3;6 (1)";28;15;2;2014560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;2;;;;Construccion;;;;;;
Clara Azurmendi;"13;-14 (3)";28;16;1;2014560;5000;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;2;Indonesia Master 2021;58;7;1;;;;Construccion;;Winner Pusarla V Shindu;;;;
Clara Azurmendi;Rest Time (66);28;;;2018600;146880;5;ESP;IND;After;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;;2;2;Indonesia Master 2021;58;7;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (67);1;;;2165480;5040;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;3;Indonesia Master 2021;58;7;;;;;;;;;;;
Pusharla V Shindu;"-2;-24 (3)";1;1;7;2163480;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;3;Indonesia Master 2021;58;7;7;Pusarla V Shindu;Backhand short service;3;Construccion;;;;;;
Clara Azurmendi;"9;16 (1)";1;2;4;2164440;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;3;Indonesia Master 2021;58;7;4;;;;Construccion;;;;Modificada;;
Pusharla V Shindu;"11;-8 (1)";1;3;1;2164440;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;3;Indonesia Master 2021;58;7;1;;;;Defence;;;;;;
Clara Azurmendi;"-13;54 (2)";1;4;9;2165200;5000;5;ESP;IND;Before;Clara Azurmendi-Pusarla V Shindu;Right handed;Right handed;Clara Azurmendi;Pusharla V Shindu;Rally Time;2;3;Indonesia Master 2021;58;7;9;;;;Construccion;;;;;;
