Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Tipo de recepcion;Game Phase;Rally Outcome;Rest Time;Barrido Fuerte;Reves;Match Duration
Line Christophersen;"-13;55 (2)";4;4;9;371640;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Defence;;;;Reves;
Leonice Huet;"-14;-55 (1)";4;5;12;373280;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Construccion;;;;;
Line Christophersen;"13;55 (1)";4;6;12;373280;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Attack;;;;;
Leonice Huet;"-3;-37 (1)";4;7;7;375920;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;7;;;;;Defence;;;;;
Line Christophersen;"-13;55 (3)";4;8;9;376040;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;9;;;;;Defence;;;;;
Leonice Huet;"-14;-55 (2)";4;9;12;377080;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Construccion;;;;;
Line Christophersen;"12;55 (1)";4;10;12;377080;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Leonice Huet;"-14;-55 (3)";4;11;12;379560;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Defence;;;;;
Line Christophersen;"13;56 (1)";4;12;12;380840;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Construccion;;;;;
Leonice Huet;"-14;-16 (1)";4;13;4;382720;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;4;;;;;Defence;;;;;
Line Christophersen;"10;54 (1)";4;14;12;382680;4000;5;DEN;FRA;Before;Line Christophersen-Leonice Huet;Right handed;Right handed;Line Christophersen;Leonice Huet;Rally Time;3;1;Denmark Master 2021;24;74;12;;;;;Attack;;;;;
