Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Reves;Tipo de recepcion;Barrido Fuerte;Match Duration
Marie Batomene;"-4;17 (3)";14;2;2;545600;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;2;;;;Construccion;;;;;;
Maria Ulitina;"-14;-53 (1)";14;3;12;545600;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;12;;;;Defence;;;;;;
Marie Batomene;"-14;55 (2)";14;4;9;546200;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;9;;;;Construccion;;;;;;
Maria Ulitina;"14;-17 (1)";14;5;1;546200;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;1;;;;Construccion;Winner Marie Batomene;;;;;
Marie Batomene;Rest Time (14);14;;;550440;17280;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Marie Batomene;Rally Time (15);15;;;567720;1960;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Marie Batomene;"-2;26 (1)";15;1;6;565720;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;6;Marie Batomene;Backhand flick;9;Construccion;;;;;;
Maria Ulitina;"2;-61 (1)";15;2;10;566760;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;OUT LENGTH;;;;Construccion;Unforced Marie Batomene;;;;;
Maria Ulitina;Rest Time (15);15;;;569680;9360;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;;1;1;Spanish International 2021;91;58;;;;;;;Rest Time;;;;
Maria Ulitina;Rally Time (16);16;;;579040;11880;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;;;;;;;;;;;
Maria Ulitina;"-2;-25 (1)";16;1;7;577040;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;7;Maria Ulitina;Backhand short service;7;Construccion;;;;;;
Marie Batomene;"9;19 (1)";16;2;4;578440;4000;5;UKR;FRA;Before;Maria Ulitina-Marie Batomene;Right handed;Right handed;Maria Ulitina;Marie Batomene;Rally Time;1;1;Spanish International 2021;91;58;4;;;;Construccion;;;;;;
