Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Reves;Rally Outcome;Rest Time;Tipo de recepcion;Barrido Fuerte;Match Duration
Clara Azurmendi;"9;-18 (1)";5;2;1;361000;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;Modificada/Finta;;
Fitriani Fitriani;"14;56 (1)";5;3;12;361040;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Defence;;;;;;
Clara Azurmendi;"13;-13 (1)";5;4;1;362080;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Fitriani Fitriani;"14;55 (1)";5;5;12;362080;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Defence;;;;;;
Clara Azurmendi;"-13;-5 (1)";5;6;4;364240;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Construccion;;;;;;
Fitriani Fitriani;"-14;6 (1)";5;7;1;364240;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Defence;;;;;;
Clara Azurmendi;"-13;2 (1)";5;8;1;366240;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;NET;;;;Construccion;;Error Fitriani Fitriani;;;;
Clara Azurmendi;Rest Time (5);5;;;368880;14960;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Clara Azurmendi;Rally Time (6);6;;;383840;4400;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"-2;-24 (1)";6;1;7;381840;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand short service;7;Construccion;;;;;;
Fitriani Fitriani;"10;17 (1)";6;2;4;383040;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;4;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-55 (1)";6;3;12;383040;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Defence;;;;;;
Fitriani Fitriani;"-15;5 (1)";6;4;1;384280;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;1;;;;Construccion;;;;;;
Clara Azurmendi;"-20;-11 (1)";6;5;Out;384280;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;OUT SIDE;;;;Construccion;;Unforced Fitriani Fitriani;;;;
Fitriani Fitriani;Rest Time (6);6;;;388240;11320;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (7);7;;;399560;3520;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"2;-24 (2)";7;1;6;397560;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;6;Clara Azurmendi;Backhand flick;10;Construccion;;;;;;
Fitriani Fitriani;"-10;53 (1)";7;2;9;398760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;9;;;;Construccion;;;;;;
Clara Azurmendi;"-14;-56 (1)";7;3;12;398760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;12;;;;Construccion;;;;;;
Fitriani Fitriani;"-16;25 (1)";7;4;5;398760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;5;;;;Construccion;;Winner Clara Azurmendi;;;;
Fitriani Fitriani;Rest Time (7);7;;;403080;14680;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;;1;1;Indonesia Masters 2021;46;42;;;;;;;;Rest Time;;;
Fitriani Fitriani;Rally Time (8);8;;;417760;10320;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;;;;;;;;;;;
Clara Azurmendi;"-2;-26 (1)";8;1;7;415760;5000;5;ESP;INA;Before;Clara Azurmendi-Fitriani Fitriani;Right handed;Right handed;Clara Azurmendi;Fitriani Fitriani;Rally Time;1;1;Indonesia Masters 2021;46;42;7;Clara Azurmendi;Backhand flick;11;Construccion;;;;;;
