Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Evgeniya Kosetskaya;"14;-16 (1)";6;9;1;652880;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;1;;;;Defence;;;;;;
Pai Yu Po;"-12;54 (1)";6;10;9;655120;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"12;-56 (1)";6;11;9;655120;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Defence;;;;;;
Pai Yu Po;"-13;56 (2)";6;12;9;657240;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;9;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"14;-60 (1)";6;13;9;657240;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;OUT LENGTH;;;;Construccion;Unforced Pai Yu Po;;;;;
Pai Yu Po;Rest Time (6);6;;;661960;12200;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Pai Yu Po;Rally Time (7);7;;;674160;3600;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Evgeniya Kosetskaya;"-2;-24 (2)";7;1;7;672160;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;7;Evgeniya Kosetskaya;Forehand long service;11;Construccion;;;;;;
Pai Yu Po;"15;54 (1)";7;2;12;674320;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;12;;;;Construccion;;;;;;
Evgeniya Kosetskaya;"18;-56 (1)";7;3;Out;674320;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;OUT SIDE;;;;Construccion;Unforced Pai Yu Po;;;;;
Pai Yu Po;Rest Time (7);7;;;677760;11240;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;;1;1;Indonesia Masters 2021;22;43;;;;;;;Rest Time;;;;
Pai Yu Po;Rally Time (8);8;;;689000;6440;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;;;;;;;;;;;
Evgeniya Kosetskaya;"2;-25 (3)";8;1;6;687000;5000;5;RUS;TPE;Before;Evgeniya Kosetskaya-Pai Yu Po;Right handed;Right handed;Evgeniya Kosetskaya;Pai Yu Po;Rally Time;1;1;Indonesia Masters 2021;22;43;6;Evgeniya Kosetskaya;Forehand long service;10;Construccion;;;;;;
