Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;#Rounds;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Barrido Fuerte;Match Duration
Natsuki Nidaira;"-14;-55 (1)";4;10;12;93000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;Winner Clara Azurmendi;;;;;
Natsuki Nidaira;Rest Time (4);4;;;97766;18566;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Natsuki Nidaira;Rally Time (5);5;;;116333;3666;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Clara Azurmendi;"3;25 (1)";5;1;7;114333;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;7;Clara Azurmendi;Backhand flick;11;Construccion;;;;;;
Natsuki Nidaira;"-15;-55 (2)";5;2;12;115633;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;12;;;;Construccion;;;;;;
Clara Azurmendi;"-15;54 (1)";5;3;9;115633;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Natsuki Nidaira;"-16;1 (1)";5;4;1;115633;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;NET;;;;Construccion;Unforced Clara Azurmendi;;;;;
Natsuki Nidaira;Rest Time (5);5;;;120000;14500;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Natsuki Nidaira;Rally Time (6);6;;;134500;3500;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Natsuki Nidaira;"2;-25 (2)";6;1;6;132500;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;Natsuki Nidaira;Forehand long service;11;Construccion;;;;;;
Clara Azurmendi;"-15;55 (1)";6;2;9;135200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Construccion;;;;;;
Natsuki Nidaira;"13;-14 (1)";6;3;1;135200;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;Winner Clara Azurmendi;;;;;
Clara Azurmendi;Rest Time (6);6;;;138000;15000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;;3;1;Canadian International Challenge 2022;34;50;;;;;;;Rest Time;;;;
Clara Azurmendi;Rally Time (7);7;;;153000;14266;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;;;;;;;;;;;
Clara Azurmendi;"-2;26 (2)";7;1;6;151000;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;6;Clara Azurmendi;Backhand short service;7;Construccion;;;;;;
Natsuki Nidaira;"10;-17 (1)";7;2;1;152100;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Clara Azurmendi;"-14;6 (1)";7;3;1;152100;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;1;;;;Construccion;;;;;;
Natsuki Nidaira;"-12;-5 (1)";7;4;4;152100;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Defence;;;;;;
Clara Azurmendi;"-14;55 (1)";7;5;9;154766;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Attack;;;;;;
Natsuki Nidaira;"-3;-38 (1)";7;6;7;155566;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;7;;;;Defence;;;;;;
Clara Azurmendi;"13;16 (1)";7;7;4;156133;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;4;;;;Defence;;;;;;
Natsuki Nidaira;"13;-54 (2)";7;8;9;157033;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;9;;;;Attack;;;;;;
Clara Azurmendi;"13;36 (1)";7;9;8;158033;5000;5;ESP;JPN;Before;Clara Azurmendi-Natsuki Nidaira;Right handed;Right handed;Clara Azurmendi;Natsuki Nidaira;Rally Time;3;1;Canadian International Challenge 2022;34;50;8;;;;Defence;;;;;;
